label,count
prime_rib,600
bread_pudding,600
hot_dog,600
deviled_eggs,600
peking_duck,600
spring_rolls,600
takoyaki,600
greek_salad,600
mussels,600
pancakes,600
spaghetti_bolognese,600
spaghetti_carbonara,600
pork_chop,600
samosa,600
panna_cotta,600
filet_mignon,600
lobster_roll_sandwich,600
cup_cakes,600
chicken_quesadilla,600
guacamole,600
escargots,600
strawberry_shortcake,600
tiramisu,600
beef_carpaccio,600
steak,600
french_toast,600
ravioli,600
caprese_salad,600
tuna_tartare,600
pad_thai,600
baklava,600
falafel,600
frozen_yogurt,600
macarons,600
scallops,600
club_sandwich,600
ramen,600
apple_pie,600
sashimi,600
donuts,600
croque_madame,600
eggs_benedict,600
seaweed_salad,600
pizza,600
beet_salad,600
pulled_pork_sandwich,600
cheesecake,600
poutine,600
hot_and_sour_soup,600
breakfast_burrito,600
pho,600
hamburger,600
crab_cakes,600
waffles,600
foie_gras,600
chicken_curry,600
fried_calamari,600
bruschetta,600
chicken_wings,600
shrimp_and_grits,600
hummus,600
french_fries,600
omelette,600
edamame,600
bibimbap,600
beignets,600
cannoli,600
ceviche,600
lobster_bisque,600
red_velvet_cake,600
cheese_plate,600
gyoza,600
churros,600
oysters,600
beef_tartare,600
clam_chowder,600
onion_rings,600
dumplings,600
french_onion_soup,600
risotto,600
grilled_cheese_sandwich,600
gnocchi,600
chocolate_mousse,600
sushi,600
huevos_rancheros,600
caesar_salad,600
ice_cream,600
lasagna,600
fried_rice,600
carrot_cake,600
creme_brulee,600
chocolate_cake,600
miso_soup,600
fish_and_chips,600
baby_back_ribs,600
nachos,600
garlic_bread,600
macaroni_and_cheese,600
paella,600
tacos,600
grilled_salmon,600
