split,label,image_path
train,prime_rib,Data-Pipeline\data\raw\food-101\images\prime_rib\940686.jpg
train,hamburger,Data-Pipeline\data\raw\food-101\images\hamburger\110991.jpg
train,beef_tartare,Data-Pipeline\data\raw\food-101\images\beef_tartare\1837012.jpg
train,oysters,Data-Pipeline\data\raw\food-101\images\oysters\3110396.jpg
train,churros,Data-Pipeline\data\raw\food-101\images\churros\1721260.jpg
train,gyoza,Data-Pipeline\data\raw\food-101\images\gyoza\2739476.jpg
train,cheese_plate,Data-Pipeline\data\raw\food-101\images\cheese_plate\3651355.jpg
train,red_velvet_cake,Data-Pipeline\data\raw\food-101\images\red_velvet_cake\3764838.jpg
train,lobster_bisque,Data-Pipeline\data\raw\food-101\images\lobster_bisque\1571338.jpg
train,ceviche,Data-Pipeline\data\raw\food-101\images\ceviche\3060656.jpg
train,cannoli,Data-Pipeline\data\raw\food-101\images\cannoli\63180.jpg
train,prime_rib,Data-Pipeline\data\raw\food-101\images\prime_rib\811245.jpg
train,beignets,Data-Pipeline\data\raw\food-101\images\beignets\2464389.jpg
train,lobster_bisque,Data-Pipeline\data\raw\food-101\images\lobster_bisque\1257231.jpg
train,edamame,Data-Pipeline\data\raw\food-101\images\edamame\3546677.jpg
train,crab_cakes,Data-Pipeline\data\raw\food-101\images\crab_cakes\1026455.jpg
train,omelette,Data-Pipeline\data\raw\food-101\images\omelette\3615462.jpg
train,gyoza,Data-Pipeline\data\raw\food-101\images\gyoza\496079.jpg
train,french_fries,Data-Pipeline\data\raw\food-101\images\french_fries\1676299.jpg
train,red_velvet_cake,Data-Pipeline\data\raw\food-101\images\red_velvet_cake\1534212.jpg
train,oysters,Data-Pipeline\data\raw\food-101\images\oysters\2049982.jpg
train,beef_tartare,Data-Pipeline\data\raw\food-101\images\beef_tartare\1126304.jpg
train,crab_cakes,Data-Pipeline\data\raw\food-101\images\crab_cakes\2885408.jpg
train,hummus,Data-Pipeline\data\raw\food-101\images\hummus\124895.jpg
train,shrimp_and_grits,Data-Pipeline\data\raw\food-101\images\shrimp_and_grits\537365.jpg
train,cheese_plate,Data-Pipeline\data\raw\food-101\images\cheese_plate\1952846.jpg
train,chicken_wings,Data-Pipeline\data\raw\food-101\images\chicken_wings\2805973.jpg
train,bruschetta,Data-Pipeline\data\raw\food-101\images\bruschetta\3032772.jpg
train,fried_calamari,Data-Pipeline\data\raw\food-101\images\fried_calamari\1519735.jpg
train,ceviche,Data-Pipeline\data\raw\food-101\images\ceviche\2405414.jpg
train,hamburger,Data-Pipeline\data\raw\food-101\images\hamburger\2222741.jpg
train,chicken_curry,Data-Pipeline\data\raw\food-101\images\chicken_curry\3039459.jpg
train,hamburger,Data-Pipeline\data\raw\food-101\images\hamburger\3822189.jpg
train,foie_gras,Data-Pipeline\data\raw\food-101\images\foie_gras\1071696.jpg
train,waffles,Data-Pipeline\data\raw\food-101\images\waffles\3046012.jpg
train,clam_chowder,Data-Pipeline\data\raw\food-101\images\clam_chowder\2614331.jpg
train,onion_rings,Data-Pipeline\data\raw\food-101\images\onion_rings\3375760.jpg
train,dumplings,Data-Pipeline\data\raw\food-101\images\dumplings\865624.jpg
train,onion_rings,Data-Pipeline\data\raw\food-101\images\onion_rings\1112289.jpg
train,french_onion_soup,Data-Pipeline\data\raw\food-101\images\french_onion_soup\3479388.jpg
train,foie_gras,Data-Pipeline\data\raw\food-101\images\foie_gras\2988116.jpg
train,tacos,Data-Pipeline\data\raw\food-101\images\tacos\2685162.jpg
train,paella,Data-Pipeline\data\raw\food-101\images\paella\695999.jpg
train,macaroni_and_cheese,Data-Pipeline\data\raw\food-101\images\macaroni_and_cheese\3601149.jpg
train,garlic_bread,Data-Pipeline\data\raw\food-101\images\garlic_bread\3135402.jpg
train,nachos,Data-Pipeline\data\raw\food-101\images\nachos\1970937.jpg
train,baby_back_ribs,Data-Pipeline\data\raw\food-101\images\baby_back_ribs\688276.jpg
train,fish_and_chips,Data-Pipeline\data\raw\food-101\images\fish_and_chips\3387911.jpg
train,cheese_plate,Data-Pipeline\data\raw\food-101\images\cheese_plate\34800.jpg
train,omelette,Data-Pipeline\data\raw\food-101\images\omelette\861176.jpg
train,miso_soup,Data-Pipeline\data\raw\food-101\images\miso_soup\201196.jpg
train,paella,Data-Pipeline\data\raw\food-101\images\paella\3875889.jpg
train,chicken_wings,Data-Pipeline\data\raw\food-101\images\chicken_wings\3028718.jpg
train,chocolate_cake,Data-Pipeline\data\raw\food-101\images\chocolate_cake\2464624.jpg
train,creme_brulee,Data-Pipeline\data\raw\food-101\images\creme_brulee\1704491.jpg
train,chocolate_cake,Data-Pipeline\data\raw\food-101\images\chocolate_cake\964695.jpg
train,carrot_cake,Data-Pipeline\data\raw\food-101\images\carrot_cake\1100594.jpg
train,fried_rice,Data-Pipeline\data\raw\food-101\images\fried_rice\153082.jpg
train,garlic_bread,Data-Pipeline\data\raw\food-101\images\garlic_bread\2556701.jpg
train,lasagna,Data-Pipeline\data\raw\food-101\images\lasagna\3681091.jpg
train,fish_and_chips,Data-Pipeline\data\raw\food-101\images\fish_and_chips\3550882.jpg
train,omelette,Data-Pipeline\data\raw\food-101\images\omelette\226902.jpg
